length	count	variant	region
35	29	ins	non-coding
36	23	ins	non-coding
37	25	ins	non-coding
38	25	ins	non-coding
39	18	ins	non-coding
40	14	ins	non-coding
41	15	ins	non-coding
42	20	ins	non-coding
43	12	ins	non-coding
44	16	ins	non-coding
45	15	ins	non-coding
46	19	ins	non-coding
47	11	ins	non-coding
48	16	ins	non-coding
49	8	ins	non-coding
50	9	ins	non-coding
1	26627	del	non-coding
2	11061	del	non-coding
3	6776	del	non-coding
4	5204	del	non-coding
5	3770	del	non-coding
6	3402	del	non-coding
7	2787	del	non-coding
8	2416	del	non-coding
9	1933	del	non-coding
10	1662	del	non-coding
11	1324	del	non-coding
12	1202	del	non-coding
13	935	del	non-coding
14	817	del	non-coding
15	676	del	non-coding
16	510	del	non-coding
17	449	del	non-coding
18	386	del	non-coding
19	345	del	non-coding
20	295	del	non-coding
21	238	del	non-coding
22	231	del	non-coding
23	208	del	non-coding
24	194	del	non-coding
25	168	del	non-coding
26	139	del	non-coding
27	140	del	non-coding
28	115	del	non-coding
29	107	del	non-coding
30	95	del	non-coding
31	106	del	non-coding
32	84	del	non-coding
33	81	del	non-coding
34	76	del	non-coding
35	85	del	non-coding
36	63	del	non-coding
37	44	del	non-coding
38	45	del	non-coding
39	35	del	non-coding
40	38	del	non-coding
41	26	del	non-coding
42	24	del	non-coding
43	19	del	non-coding
44	13	del	non-coding
45	15	del	non-coding
46	16	del	non-coding
47	12	del	non-coding
48	14	del	non-coding
49	13	del	non-coding
50	15	del	non-coding
