run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,length,AIC,delta_AIC
4,11,3,0.000188176402435,na,na,0,0.00853295643433,ins,1,neu,237874.512172,,5000,True,indel_discrete_2class_equal_t,29,4bp,-475691.024344,0.0
4,11,3,0.000184039196851,na,na,-2295.15350264,8.10368954399e-06,ins,1,sel,237874.512172,,5000,True,indel_discrete_2class_equal_t,29,4bp,-475691.024344,0.0
4,11,3,1.06182328457e-05,na,na,-2.71893767988,3.29233317209e-08,del,2,sel,237874.512172,,5000,True,indel_discrete_2class_equal_t,29,4bp,-475691.024344,0.0
4,11,3,4.13720558396e-06,na,na,-1.85983022539,1.85704126973e-05,ins,2,sel,237874.512172,,5000,True,indel_discrete_2class_equal_t,29,4bp,-475691.024344,0.0
4,27,3,0.000368261986216,na,na,0,0.0256221412223,del,1,neu,237877.429068,,5000,True,indel_discrete_3class_equal_t,35,4bp,-475684.858136,-6.16620882001
4,27,3,0.00033879266464,na,na,-47500.9741983,5.11753481199e-05,del,3,sel,237877.429068,,5000,True,indel_discrete_3class_equal_t,35,4bp,-475684.858136,-6.16620882001
4,27,3,0.000188108866177,na,na,0,0.00851721199301,ins,1,neu,237877.429068,,5000,True,indel_discrete_3class_equal_t,35,4bp,-475684.858136,-6.16620882001
4,27,3,0.000113973726319,na,na,-1083.92042002,4.11439218154e-06,ins,1,sel,237877.429068,,5000,True,indel_discrete_3class_equal_t,35,4bp,-475684.858136,-6.16620882001
4,27,3,7.04478775038e-05,na,na,-49292.3957075,0.000907567527907,ins,3,sel,237877.429068,,5000,True,indel_discrete_3class_equal_t,35,4bp,-475684.858136,-6.16620882001
4,27,3,2.59056008685e-05,na,na,-19.321979209,7.83147520989e-07,del,2,sel,237877.429068,,5000,True,indel_discrete_3class_equal_t,35,4bp,-475684.858136,-6.16620882001
4,27,3,3.68726235464e-06,na,na,-1.38982532742,3.92802760723e-06,ins,2,sel,237877.429068,,5000,True,indel_discrete_3class_equal_t,35,4bp,-475684.858136,-6.16620882001
4,27,3,3.56372070724e-06,na,na,1.24883985357,1.05292695443e-07,del,1,sel,237877.429068,,5000,True,indel_discrete_3class_equal_t,35,4bp,-475684.858136,-6.16620882001
3,9,3,0.000361209312004,na,na,0,0.0236047163992,del,1,neu,237347.796111,neu_ins_e_1,5000,True,indel_discrete_1class_equal_t,23,4bp,-474649.592222,-1041.43212236
3,9,3,0.000361209312004,na,na,-169.380467851,0.0125132324475,del,1,sel,237347.796111,neu_ins_e_1,5000,True,indel_discrete_1class_equal_t,23,4bp,-474649.592222,-1041.43212236
3,9,3,0.000182549226133,na,na,0,0,ins,1,neu,237347.796111,neu_ins_e_1,5000,True,indel_discrete_1class_equal_t,23,4bp,-474649.592222,-1041.43212236
3,9,3,0.000182549226133,na,na,-154.784926137,0.0905178303342,ins,1,sel,237347.796111,neu_ins_e_1,5000,True,indel_discrete_1class_equal_t,23,4bp,-474649.592222,-1041.43212236
1,37,3,0.000144526172541,na,na,0,0.0238406005967,del,1,neu,76512.4815871,,5000,True,indel_discrete_2class_equal_t,29,6bp,-152966.963174,0.0
1,37,3,0.000123296554843,na,na,-259.414649921,0.0282514351721,del,1,sel,76512.4815871,,5000,True,indel_discrete_2class_equal_t,29,6bp,-152966.963174,0.0
1,37,3,6.23074577873e-05,na,na,0,0.0104523388512,ins,1,neu,76512.4815871,,5000,True,indel_discrete_2class_equal_t,29,6bp,-152966.963174,0.0
1,37,3,5.81947123198e-05,na,na,-609.087437399,3.45707291227e-06,ins,1,sel,76512.4815871,,5000,True,indel_discrete_2class_equal_t,29,6bp,-152966.963174,0.0
1,37,3,2.12296176987e-05,na,na,-0.898593464935,0.0200755916505,del,2,sel,76512.4815871,,5000,True,indel_discrete_2class_equal_t,29,6bp,-152966.963174,0.0
1,37,3,4.11274546747e-06,na,na,18.7489488734,0.0297724574983,ins,2,sel,76512.4815871,,5000,True,indel_discrete_2class_equal_t,29,6bp,-152966.963174,0.0
21,42,3,0.000144485204087,na,na,0,0.0238750552693,del,1,neu,76512.7964056,sel_del_gamma_2,5000,True,indel_discrete_3class_equal_t,35,6bp,-152955.592811,-11.3703630432
21,42,3,0.000122154117092,na,na,-288.141439189,0.0228994205045,del,1,sel,76512.7964056,sel_del_gamma_2,5000,True,indel_discrete_3class_equal_t,35,6bp,-152955.592811,-11.3703630432
21,42,3,6.22707591941e-05,na,na,0,0.0104560589845,ins,1,neu,76512.7964056,sel_del_gamma_2,5000,True,indel_discrete_3class_equal_t,35,6bp,-152955.592811,-11.3703630432
21,42,3,4.18756081967e-05,na,na,-639.060831532,1.18564861407e-05,ins,2,sel,76512.7964056,sel_del_gamma_2,5000,True,indel_discrete_3class_equal_t,35,6bp,-152955.592811,-11.3703630432
21,42,3,2.06842982282e-05,na,na,-1.52180582273,8.33954730665e-06,del,3,sel,76512.7964056,sel_del_gamma_2,5000,True,indel_discrete_3class_equal_t,35,6bp,-152955.592811,-11.3703630432
21,42,3,1.64547692263e-05,na,na,-462.407905553,0.000103283643845,ins,3,sel,76512.7964056,sel_del_gamma_2,5000,True,indel_discrete_3class_equal_t,35,6bp,-152955.592811,-11.3703630432
21,42,3,3.94038177114e-06,na,na,14.8871872985,0.0223339531492,ins,1,sel,76512.7964056,sel_del_gamma_2,5000,True,indel_discrete_3class_equal_t,35,6bp,-152955.592811,-11.3703630432
21,42,3,1.64678876654e-06,na,na,999.999999242,0.271131386037,del,2,sel,76512.7964056,sel_del_gamma_2,5000,True,indel_discrete_3class_equal_t,35,6bp,-152955.592811,-11.3703630432
24,8,3,0.000130943389762,na,na,0,0.0214425539061,del,1,neu,76024.1164012,,5000,True,indel_discrete_1class_equal_t,23,6bp,-152002.232802,-964.730371888
24,8,3,0.000130943389762,na,na,-17.116944024,0.060628616874,del,1,sel,76024.1164012,,5000,True,indel_discrete_1class_equal_t,23,6bp,-152002.232802,-964.730371888
24,8,3,5.71060388478e-05,na,na,0,4.44806584898e-09,ins,1,neu,76024.1164012,,5000,True,indel_discrete_1class_equal_t,23,6bp,-152002.232802,-964.730371888
24,8,3,5.71060388478e-05,na,na,-38.1464400295,0.0864380246855,ins,1,sel,76024.1164012,,5000,True,indel_discrete_1class_equal_t,23,6bp,-152002.232802,-964.730371888
